row-cell,Tiktoker name,Tiktok name,"
Followers",Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
287,0,0,13100000,2900000,361700,1700,1000
288,0,0,5200000,1800000,332600,1000,3800
289,0,0,3400000,10700000,291000,427,471
290,0,0,691600,1700000,277200,1900,4000
291,0,0,2300000,1500000,341100,2500,2900
292,0,0,3700000,2600000,452300,1300,1000
293,0,0,2100000,3000000,305600,1100,1900
294,0,0,2100000,4099999.9999999995,570600,595,583
295,0,0,47100000,2400000,292300,2600,1300
296,0,0,3200000,2400000,279600,582,3500
297,0,0,2200000,4500000,408800,786,708
298,0,0,8100000,4099999.9999999995,212900,2700,376
299,0,0,6200000,4000000,318200,1100,1000
300,0,0,3100000,1800000,39600,35200,1900
301,0,0,1300000,2700000,404900,758,1600
302,0,0,1600000,2000000,166200,2800,5000
303,0,0,33299999.999999996,3600000,432900,1400,250
304,0,0,3800000,2200000,424700,1900,886
305,0,0,3000000,1800000,177800,3900,4100
306,0,0,4200000,2600000,324800,1100,2000
307,0,0,3200000,2600000,220000,1000,3400
308,0,0,6700000,4600000,249600,1700,552
309,0,0,1600000,2300000,404600,2000,693
310,0,0,11400000,3000000,340600,578,1900
311,0,0,18900000,2700000,425000,1500,637
312,0,0,36400000,3200000,449900,1200,520
313,0,0,3000000,1700000,390300,3200,606
314,0,0,2800000,3200000,237900,2400,816
315,0,0,1100000,1200000,321700,3100,3000
316,0,0,6200000,2500000,312300,2000,1100
317,0,0,7500000,3000000,265900,1600,1400
318,0,0,4200000,2300000,367700,1400,1500
319,0,0,1300000,2400000,520799.99999999994,998,921
320,0,0,7200000,1900000,158900,5600,2500
321,0,0,4000000,2700000,459200,1500,401
322,0,0,2200000,2100000,286600,1200,2700
323,0,0,17200000,4700000,544800,396,531
324,0,0,292200,1700000,178900,4600,3200
325,0,0,2700000,2800000,393300,864,1300
326,0,0,7500000,2200000,245400,2400,1900
327,0,0,6200000,3700000,352100,664,1100
328,0,0,497500,2300000,211400,1800,2900
329,0,0,2500000,2900000,222900,2600,969
330,0,0,121700,1700000,119400,4900,6300
331,0,0,6100000,2600000,380200,1200,1200
332,0,0,1200000,3000000,514900,792,665
333,0,0,6400000,2700000,313800,855,1900
334,0,0,4300000,3200000,397800,1400,368
335,0,0,1600000,2500000,229800,1000,2800
336,0,0,15000000,3400000,232900,2300,541
337,0,0,4400000,2500000,468700,1300,565
338,0,0,3200000,2600000,379700,869,1400
339,0,0,1100000,3300000,137300,2500,2400
340,0,0,3800000,3600000,261600.00000000003,918,1400
341,0,0,22300000,2700000,321800,1100,1400
342,0,0,4200000,2100000,362400,1400,1400
343,0,0,19600000,2000000,405400,1400,1300
344,0,0,9100000,2000000,313600,755,2700
345,0,0,1900000,4900000,330700,589,737
346,0,0,1800000,2600000,345300,1500,871
347,0,0,1800000,1300000,160900,8500,1700
348,0,0,32200000.000000004,2100000,264000,2700,1300
349,0,0,1700000,2900000,158600,2000,2600
350,0,0,12300000,2700000,183600,2300,2000
351,0,0,1200000,2500000,372900,1200,1000
352,0,0,17900000,3800000,180700,679,2300
353,0,0,2800000,1400000,223100,1200,5400
354,0,0,20700000,2200000,285200,2200,1100
355,0,0,14200000,4300000,459100,671,372
356,0,0,5400000,2400000,521400,832,813
357,0,0,7800000,2900000,369700,627,1300
358,0,0,2200000,976400,182900,1500,10000
359,0,0,1300000,4400000,186000,1300,1200
360,0,0,5000000,3000000,359400,1400,484
361,0,0,1800000,1100000,242700,2900,4600
362,0,0,9000000,2600000,418400,851,990
363,0,0,2900000,3000000,302900,1800,431
364,0,0,34800000,2800000,393300,1100,720
365,0,0,45500000,2100000,306800,2700,382
366,0,0,5900000,1700000,198700,1800,4000
367,0,0,4800000,4200000,417500,605,503
368,0,0,1500000,1900000,126700,1800,6400
369,0,0,4000000,1400000,80400,1400,16300
370,0,0,9200000,2700000,207500,3200,280
371,0,0,9300000,3800000,399600,1000,262
372,0,0,2500000,2500000,367800,1600,443
373,0,0,785300,1700000,178800,2900,3500
374,0,0,9000000,1200000,174600,977,8000
375,0,0,11500000,1800000,266700,1800,2200
376,0,0,432600,2500000,248800,1000,2100
377,0,0,2100000,3000000,263600,1900,445
378,0,0,4400000,2700000,217800,767,2400
379,0,0,5700000,3300000,173500,626,2600
380,0,0,16000000,1700000,319500,2300,1000
381,0,0,6000000,2200000,174200,2800,1900
