332,BebopandBebe,7504000,33000000,1272000,76000,354
333,Ladaniuu,4999000,24000000,5865000,998,13000
334,Telma,18000000,2000000,2961000,38000,18000
335,ssssttttaaaarrrr,5503000,18000000,1773000,86000,18000
336,patriotickenny,23000000,21000000,2929000,2000,33000
337,Daniel Lechuga,53000000,22000000,4761000,12000,19000
338,Máºnh Tiáºn KhÃi ðŸ,46000000,3000000,2764000,26000,13000
339,JoJo Siwa,435000000,42000000,422000,14000,399
340,kelil,365000,46000000,6706000,686,355
341,Ebit Lew,41000000,19000000,1563000,63000,44000
342,Cedric Grolet,13000000,33000000,2518000,11000,27000
343,Daniele Cabras,32000000,2000000,2172000,23000,52000
344,Dylan Page,31000000,16000000,2394000,54000,3000
345,Mastermind PH,21000000,26000000,273000,21000,23000
346,MALU BORGES,29000000,19000000,2804000,48000,1000
347,Vito ðŸŒðŸšââï,19000000,22000000,340000,2000,22000
348,Feby,37000000,19000000,361000,26000,2000
349,Carol Villanes,63000000,2000000,2947000,48000,467
350,Maria Becerra,83000000,27000000,3883000,22000,712
351,OneRepublic,6917000,28000000,323000,955,25000
352,Ahmad Rizki,1928000,37000000,3045000,15000,12000
353,flickerspark_,12000000,21000000,5168000,14000,15000
354,cvstage,1682000,23000000,3131000,25000,18000
355,ÙŠØÙŠÙ ØÙØØØÙŠ,22000000,4000000,1899000,1000,31000
356,Jenni Alarcon,31000000,2000000,3484000,25000,19000
357,inoue,531000,18000000,3213000,27000,26000
358,SUNNY DAZE,16000000,31000000,4953000,844,12000
359,Los_chicaneros,37000000,19000000,2182000,12000,61000
360,VideosChapin,56000,29000000,788000,27000,106000
361,Wue Silva,131000000,41000000,2834000,12000,14000
362,ladygaga,76000000,19000000,2475000,44000,2000
363,ÙØµØÙÙ ØÙØØµØØÙˆÙŠ 62,33000000,31000000,254000,23000,15000
364,mitsy,23000000,19000000,3383000,27000,21000
365,Sebastien,72000000,2000000,3965000,21000,18000
366,Karl,112000000,19000000,4865000,26000,563
367,Lil Tjay,52000000,19000000,2919000,39000,14000
368,Irene,986000,14000000,4017000,13000,39000
369,Doctor Miguel,59000000,21000000,3217000,17000,26000
370,Jacob Day,56000000,18000000,2966000,44000,1000
371,Lou flores,28000000,22000000,2371000,842,47000
372,Pakoyaso,128000000,32000000,2826000,12000,2000
373,Tchella,2000000,16000000,3816000,15000,34000
374,NashVibes Art,37000000,44000000,3655000,13000,493
375,jamesdroz5661,1034000,19000000,1554000,22000,74000
376,egyptianbeaman,8724000,22000000,805000,17000,142000
377,Mattia Stanga,27000000,15000000,2134000,14000,74000
378,Gorillaz,23000000,18000000,3409000,28000,17000
379,N/A,3545000,8155000,214000,54000,106000
380,Rayoon,37000000,29000000,2359000,28000,12000
381,Mel Maia ðŸ,118000000,35000000,4739000,988,662
382,Viet,1612000,12000000,1297000,127000,48000
383,LEENðŸŒ,38000000,29000000,1901000,27000,23000
384,jubiandxian,57000000,25000000,3962000,18000,934
385,Adrian Bliss,73000000,23000000,4133000,11000,17000
386,Desiree Montoyaâï,29000000,19000000,2508000,49000,764
387,Frankie LaPenna,48000000,27000000,2952000,14000,2000
388,XXXTENTACION,37000000,28000000,3351000,1000,18000
389,Tik Toker,13000000,23000000,1883000,22000,41000
390,katie sigmond,69000000,29000000,340000,11000,16000
391,natalie  the aguilars,49000000,34000000,5588000,568,825
392,EL CHIMBA,33000000,3000000,2852000,773,24000
393,Deive Leonardo,61000000,13000000,1393000,370,142000
394,vitoâ_â,524000,1000000,1793000,33000,109000
395,TWICE,179000000,13000000,3255000,37000,25000
396,Christilukasiak,23000000,23000000,3693000,18000,12000
397,KATIAVLOGSðŸ,145000000,34000000,2744000,26000,294
398,Nguyán Ngác NhÆ ÃðŸ,6902000,26000000,2398000,4000,205
399,JiDion,42000000,19000000,4125000,2000,13000
400,Sal,6143000,24000000,1662000,12000,54000
401,nikkietutorials,62000000,32000000,498000,11000,538
402,ivanovik1983,1727000,23000000,915000,11000,111000
403,Eric Tro,45000000,56000000,5474000,507,330
404,Virginia,341000000,3000000,4109000,12000,961
405,Paige Taylor,45000000,26000000,3933000,19000,546
406,Corey B,88000000,15000000,1942000,755,83000
407,Carol Castro,127000000,34000000,450000,13000,379
408,Ian Lucas,45000000,24000000,2629000,33000,830
409,Valeria Voronina,23000000,37000000,4604000,11000,334
410,Paco De Miguel,68000000,15000000,2296000,19000,54000
411,Josh Richards,256000000,27000000,354000,19000,737
412,s áœ Ê á s á á,11000000,18000000,1885000,463,7000
413,ãããƒ ãƒãƒƒãƒˆããããŸ,12000000,17000000,2256000,47000,19000
414,Ayu Ting Ting,72000000,29000000,2392000,15000,21000
415,Yahayra Osorio,3726000,22000000,677000,11000,157000
416,ðððƒð,795000,18000000,314000,2000,24000
417,ØØÙˆ ØØÙŠØ,6614000,21000000,1694000,31000,39000
418,Megan Thee Stallion,122000000,21000000,2772000,23000,2000
419,Musdalifah Basri,13000000,22000000,1902000,34000,26000
420,Hailey Bieber,98000000,35000000,3426000,12000,845
421,dialaaljazairi,1987000,4000000,1132000,31000,24000
422,Peaches The Chi,2952000,15000000,2967000,2000,36000
423,Bruno Campos,52000000,54000000,3606000,626,619
424,Isaac HP Karaoke Backup,16000000,13000000,2656000,32000,38000
425,Rafael Santos,185000000,25000000,3982000,18000,645
426,Suzy,7313000,22000000,3967000,288,25000
427,Gemelas Abello,179000000,5000000,3762000,478,813
428,Douha laribii,77000000,41000000,2404000,16000,823
429,ITZY,97000000,17000000,3146000,3000,16000
430,rylee,8035000,37000000,2815000,2000,302
431,Aaron Murphy,57000000,18000000,2795000,28000,21000
432,tai_tl,8323000,19000000,3169000,16000,25000
433,Tay,41000000,15000000,2959000,12000,44000
434,LELÃŠ BURNIER,24000000,16000000,3876000,29000,910
435,ØÙŠØ ØÙØÙØÙŠðŸðŸ,15000000,32000000,162000,13000,32000
436,Maddzak,49000000,33000000,191000,35000,227
437,Niana Guerrero,332000000,31000000,3585000,15000,684
438,Carddd,38000000,39000000,5419000,801,318
439,Soy_marcela,45000000,21000000,3366000,710,26000
440,YT CR Limit,404000,28000000,1898000,24000,19000
441,Logan,25000000,21000000,3135000,12000,23000
442,katie65886,676000,22000000,1491000,71000,122
443,PINATðŸ IG hesfinatia,89000000,46000000,434000,772,377
